lr-AdamW,step,valid/recon/sess0,valid/recon/sess1,valid/recon/sess2,valid/recon/sess3,valid/recon/sess4,valid/recon/sess5,valid/recon/sess6,valid/recon/sess7,valid/recon/sess8,valid/recon/sess9,valid/recon/sess10,valid/recon/sess11,valid/recon/sess12,valid/recon/sess13,valid/recon/sess14,valid/recon/sess15,valid/recon/sess16,valid/recon/sess17,valid/recon/sess18,valid/recon/sess19,valid/recon/sess20,valid/recon/sess21,valid/recon/sess22,valid/recon/sess23,valid/recon/sess24,valid/recon/sess25,valid/recon/sess26,valid/recon/sess27,valid/recon/sess28,valid/recon/sess29,valid/recon/sess30,valid/recon/sess31,valid/recon/sess32,valid/recon/sess33,valid/recon/sess34,valid/recon/sess35,valid/recon/sess36,valid/recon/sess37,valid/recon/sess38,valid/recon/sess39,valid/recon/sess40,valid/recon/sess41,valid/recon/sess42,valid/recon/sess43,valid/recon/sess44,valid/recon/sess45,valid/recon/sess46,valid/recon/sess47,valid/recon/sess48,valid/recon/sess49,valid/recon/sess50,valid/recon/sess51,valid/recon/sess52,valid/recon/sess53,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/recon/sess1,train/recon/sess2,train/recon/sess3,train/recon/sess4,train/recon/sess5,train/recon/sess6,train/recon/sess7,train/recon/sess8,train/recon/sess9,train/recon/sess10,train/recon/sess11,train/recon/sess12,train/recon/sess13,train/recon/sess14,train/recon/sess15,train/recon/sess16,train/recon/sess17,train/recon/sess18,train/recon/sess19,train/recon/sess20,train/recon/sess21,train/recon/sess22,train/recon/sess23,train/recon/sess24,train/recon/sess25,train/recon/sess26,train/recon/sess27,train/recon/sess28,train/recon/sess29,train/recon/sess30,train/recon/sess31,train/recon/sess32,train/recon/sess33,train/recon/sess34,train/recon/sess35,train/recon/sess36,train/recon/sess37,train/recon/sess38,train/recon/sess39,train/recon/sess40,train/recon/sess41,train/recon/sess42,train/recon/sess43,train/recon/sess44,train/recon/sess45,train/recon/sess46,train/recon/sess47,train/recon/sess48,train/recon/sess49,train/recon/sess50,train/recon/sess51,train/recon/sess52,train/recon/sess53,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,1.1231086254119873,1.0396876335144043,1.096105694770813,1.0209307670593262,1.1731656789779663,1.1109272241592407,1.1480129957199097,0.7749824523925781,1.1741557121276855,1.238578200340271,0.937096893787384,1.1036053895950317,1.1676901578903198,1.3886127471923828,1.0968433618545532,0.999803900718689,1.0469350814819336,1.017348289489746,1.0589680671691895,0.9024656414985657,0.5859500169754028,1.084882378578186,1.1029481887817383,1.1255565881729126,1.162634253501892,1.1230905055999756,1.1519923210144043,0.996542751789093,1.1767483949661255,1.1615262031555176,1.1837177276611328,1.1258140802383423,1.0768208503723145,1.1951311826705933,1.06691312789917,1.2912768125534058,1.089260458946228,1.2445695400238037,1.1178218126296997,0.9985749125480652,0.9296720623970032,0.9566707611083984,1.1783767938613892,1.3320276737213135,1.275572657585144,1.1739815473556519,1.079419493675232,1.1593942642211914,0.9134643077850342,1.0705941915512085,1.2884880304336548,0.9793024659156799,0.7910017967224121,0.6932703256607056,10840.544921875,1.0840545892715454,-0.007218772545456886,nan,nan,nan,0.0,0.019607843831181526,0.0,0.0,0.0,0.019607843831181526,1.1158617734909058,1.0840545892715454,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.122513771057129,1.0583597421646118,1.1512712240219116,1.0222188234329224,1.1844426393508911,1.1258186101913452,1.1639326810836792,0.8233820199966431,1.1743084192276,1.270857810974121,0.9699587225914001,1.131203293800354,1.1738871335983276,1.5633785724639893,1.1549482345581055,1.041387915611267,1.0398746728897095,1.0873479843139648,1.0998996496200562,0.9244998693466187,0.760649561882019,1.1131995916366577,1.1085948944091797,1.1263624429702759,1.187647819519043,1.140296459197998,1.1472667455673218,1.0081079006195068,1.1764408349990845,1.1540011167526245,1.203991174697876,1.1601791381835938,1.075669288635254,1.2148358821868896,1.1004880666732788,1.3257191181182861,1.0825529098510742,1.282251238822937,1.115172266960144,0.977608859539032,0.9787132740020752,0.9651379585266113,1.1879807710647583,1.3389631509780884,1.2731972932815552,1.158168911933899,1.0371768474578857,1.1904908418655396,0.9540446996688843,1.0778541564941406,1.2760968208312988,1.0147072076797485,0.8715064525604248,0.7023212313652039,11068.6826171875,1.106868028640747,-0.06623497605323792,nan,nan,nan,0.0,0.01960783265531063,0.0,0.0,0.0,0.01960783265531063
0.004,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,1.1182665824890137,1.0471490621566772,1.0983459949493408,1.0067633390426636,1.1691315174102783,1.079256296157837,1.1384758949279785,0.7664327025413513,1.1546157598495483,1.2397935390472412,0.9356439113616943,1.1031155586242676,1.174237608909607,1.327593445777893,1.0829054117202759,0.9672567248344421,1.0248446464538574,0.962740957736969,1.0128192901611328,0.8927701115608215,0.5937349796295166,1.0719504356384277,1.0724292993545532,1.117219090461731,1.1724520921707153,1.1011931896209717,1.1370015144348145,0.9987492561340332,1.1475974321365356,1.1544629335403442,1.1780486106872559,1.103833556175232,1.0529553890228271,1.1864943504333496,1.0543131828308105,1.2859998941421509,1.0857070684432983,1.2351192235946655,1.1068229675292969,0.9948709607124329,0.9193719029426575,0.9353146553039551,1.1836377382278442,1.3310185670852661,1.2542704343795776,1.1705050468444824,1.0274648666381836,1.1547338962554932,0.8875036835670471,1.0202401876449585,1.1972585916519165,0.9704897403717041,0.7779226899147034,0.6840358376502991,10684.98046875,1.068498134613037,0.02043277397751808,nan,nan,nan,0.0,0.03921568766236305,0.0,0.0,0.0,0.03921568766236305,1.082445502281189,1.068498134613037,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.1140151023864746,1.0472452640533447,1.1236231327056885,1.0118515491485596,1.1765094995498657,1.0978232622146606,1.1485322713851929,0.7898190021514893,1.1654951572418213,1.245160698890686,0.9506487846374512,1.1157537698745728,1.1725313663482666,1.4386816024780273,1.0857563018798828,0.988335132598877,1.0108493566513062,1.0201678276062012,1.0628737211227417,0.9092985391616821,0.6688685417175293,1.0774495601654053,1.0641404390335083,1.1133127212524414,1.1699680089950562,1.1220587491989136,1.1321872472763062,0.9760812520980835,1.1546378135681152,1.144355058670044,1.18549644947052,1.1120116710662842,1.058068871498108,1.1916800737380981,1.0868533849716187,1.3041932582855225,1.0733741521835327,1.255501389503479,1.0994395017623901,0.9704412817955017,0.9444700479507446,0.9213324785232544,1.1810855865478516,1.315216064453125,1.2582801580429077,1.1505298614501953,1.0014996528625488,1.175390601158142,0.8944187164306641,1.0105313062667847,1.1887056827545166,1.0025523900985718,0.8171015977859497,0.6697137951850891,10771.4677734375,1.0771466493606567,0.003129321150481701,nan,nan,nan,0.0,0.03921566531062126,0.0,0.0,0.0,0.03921566531062126
0.004,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,1.113165259361267,1.0392842292785645,1.100509762763977,0.9927641749382019,1.17090904712677,1.0769431591033936,1.1357735395431519,0.7580263018608093,1.151201605796814,1.2211791276931763,0.9297992587089539,1.0874814987182617,1.1664992570877075,1.3461207151412964,1.0770947933197021,0.9412363171577454,1.033748745918274,0.9751089215278625,1.017796516418457,0.8894751667976379,0.5917309522628784,1.0847878456115723,1.0564792156219482,1.1118091344833374,1.1464234590530396,1.0959064960479736,1.13670814037323,0.9708057641983032,1.1245695352554321,1.1468125581741333,1.1736453771591187,1.1081633567810059,1.0519095659255981,1.1889201402664185,1.0587280988693237,1.2950899600982666,1.079145908355713,1.2215282917022705,1.110253930091858,0.9972888827323914,0.9217320084571838,0.9531445503234863,1.1690068244934082,1.3170524835586548,1.2469286918640137,1.1663445234298706,1.0125576257705688,1.1462132930755615,0.88011234998703,1.0063828229904175,1.1064066886901855,0.9709222912788391,0.7787690162658691,0.6717382073402405,10622.5849609375,1.0622584819793701,0.032244205474853516,nan,nan,nan,0.0,0.05882352963089943,0.0,0.0,0.0,0.05882352963089943,1.0680418014526367,1.0622584819793701,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.1088461875915527,1.042407751083374,1.1245344877243042,0.9900512099266052,1.1747277975082397,1.0804780721664429,1.147108554840088,0.780325174331665,1.1548569202423096,1.2433539628982544,0.9459198713302612,1.1076773405075073,1.1686006784439087,1.4258517026901245,1.0670779943466187,0.960407018661499,0.9907709360122681,1.0010815858840942,1.044925570487976,0.8959556818008423,0.66730135679245,1.075680136680603,1.0566715002059937,1.1081089973449707,1.1621097326278687,1.1150990724563599,1.1221699714660645,0.9640846848487854,1.1189709901809692,1.13399076461792,1.1778740882873535,1.0895798206329346,1.0407512187957764,1.1822541952133179,1.0762006044387817,1.2890902757644653,1.0771763324737549,1.2452389001846313,1.1002899408340454,0.9641340374946594,0.9369819760322571,0.9188335537910461,1.1806225776672363,1.3076707124710083,1.2494672536849976,1.1439006328582764,0.9802494049072266,1.1678494215011597,0.8811454176902771,0.9814843535423279,1.1242976188659668,0.9948413372039795,0.8087089657783508,0.6531171202659607,10657.5732421875,1.0657575130462646,0.023578548803925514,nan,nan,nan,0.0,0.05882350355386734,0.0,0.0,0.0,0.05882350355386734
0.004,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
